H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod     2049 dzeit  1.63E+00 agej  2.5912E+07
 # t9 =    3.435E-01 rho =    3.740E+03
 # densn  2.02779E+04
 # densp  9.89188E+01
 # densa  3.68043E+20
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
  203    30.  66.   1   6.66586E-11  ZN 66
  204    30.  67.   1   1.42858E-11  ZN 67
  205    30.  68.   1   6.33321E-11  ZN 68
  206    30.  69.   1   2.94389E-20  ZN 69
  207    30.  70.   1   1.07710E-12  ZN 70
  208    30.  71.   1   2.46523E-23  ZN 71
  209    30.  72.   1   1.00000E-99  ZN 72
  210    30.  73.   1   1.00000E-99  ZN 73
  211    30.  74.   1   1.00000E-99  ZN 74
  212    31.  65.   1   1.00000E-99  GA 65
  213    31.  66.   1   1.00000E-99  GA 66
  214    31.  67.   1   1.00000E-99  GA 67
  215    31.  68.   1   1.00000E-99  GA 68
  216    31.  69.   1   8.38089E-12  GA 69
  217    31.  70.   1   1.05976E-20  GA 70
  218    31.  71.   1   6.15400E-12  GA 71
  219    31.  72.   1   2.95450E-20  GA 72
  220    31.  73.   1   1.00000E-99  GA 73
  221    31.  74.   1   1.00000E-99  GA 74
  222    31.  75.   1   1.00000E-99  GA 75
  223    32.  66.   1   1.00000E-99  GE 66
  224    32.  67.   1   1.00000E-99  GE 67
  225    32.  68.   1   1.00000E-99  GE 68
  226    32.  69.   1   1.00000E-99  GE 69
  227    32.  70.   1   1.07324E-11  GE 70
  228    32.  71.   1   7.17714E-17  GE 71
  229    32.  72.   1   7.98639E-12  GE 72
  230    32.  73.   1   2.18448E-12  GE 73
  231    32.  74.   1   1.13937E-11  GE 74
  232    32.  75.   1   1.59952E-20  GE 75
  233    32.  76.   1   1.33015E-12  GE 76
  234    32.  77.   1   4.52033E-21  GE 77
  235    32.  78.   1   1.00000E-99  GE 78
  236    33.  69.   1   1.00000E-99  AS 69
  237    33.  70.   1   1.00000E-99  AS 70
  238    33.  71.   1   1.00000E-99  AS 71
  239    33.  72.   1   1.00000E-99  AS 72
  240    33.  73.   1   1.00000E-99  AS 73
  241    33.  74.   1   1.00000E-99  AS 74
  242    33.  75.   1   1.14538E-12  AS 75
  243    33.  76.   1   1.39017E-21  AS 76
  244    33.  77.   1   2.85155E-20  AS 77
  245    33.  78.   1   1.00000E-99  AS 78
  246    33.  79.   1   1.00000E-99  AS 79
  247    33.  80.   1   1.00000E-99  AS 80
  248    33.  81.   1   1.00000E-99  AS 81
  249    34.  72.   1   1.00000E-99  SE 72
  250    34.  73.   1   1.00000E-99  SE 73
  251    34.  74.   1   1.07504E-15  SE 74
  252    34.  75.   1   5.13612E-19  SE 75
  253    34.  76.   1   2.50655E-12  SE 76
  254    34.  77.   1   1.04732E-12  SE 77
  255    34.  78.   1   5.72740E-12  SE 78
  256    34.  79.   1   1.35558E-16  SE 79
  257    34.  80.   1   3.50818E-12  SE 80
  258    34.  81.   1   1.32800E-21  SE 81
  259    34.  82.   1   1.09786E-12  SE 82
  260    34.  83.   1   9.53661E-23  SE 83
  261    34.  84.   1   1.00000E-99  SE 84
  262    35.  74.   1   1.00000E-99  BR 74
  263    35.  75.   1   1.00000E-99  BR 75
  264    35.  76.   1   1.00000E-99  BR 76
  265    35.  77.   1   1.00000E-99  BR 77
  266    35.  78.   1   1.00000E-99  BR 78
  267    35.  79.   1   5.49966E-13  BR 79
  268    35.  80.   1   4.61890E-21  BR 80
  269    35.  81.   1   8.92134E-13  BR 81
  270    35.  82.   1   1.30218E-20  BR 82
  271    35.  83.   1   6.07565E-22  BR 83
  272    35.  84.   1   1.00000E-99  BR 84
  273    35.  85.   1   1.00000E-99  BR 85
  274    35.  86.   1   1.00000E-99  BR 86
  275    35.  87.   1   1.00000E-99  BR 87
  276    36.  76.   1   1.00000E-99  KR 76
  277    36.  77.   1   1.00000E-99  KR 77
  278    36.  78.   1   2.79273E-16  KR 78
  279    36.  79.   1   6.12426E-22  KR 79
  280    36.  80.   1   1.04923E-12  KR 80
  281    36.  81.   1   4.53288E-13  KR 81
  282    36.  82.   1   4.68882E-12  KR 82
  283    36.  83.   1   1.62984E-12  KR 83
  284    36.  84.   1   7.98733E-12  KR 84
  285    36.  85.   1   4.49491E-15  KR 85
  286    36.  86.   1   1.91027E-12  KR 86
  287    36.  87.   1   2.94678E-22  KR 87
  288    36.  88.   1   1.00000E-99  KR 88
  289    36.  89.   1   1.00000E-99  KR 89
  290    36.  90.   1   1.00000E-99  KR 90
  291    37.  79.   1   1.00000E-99  RB 79
  292    37.  80.   1   1.00000E-99  RB 80
  293    37.  81.   1   1.00000E-99  RB 81
  294    37.  82.   1   1.00000E-99  RB 82
  295    37.  83.   1   1.00000E-99  RB 83
  296    37.  84.   1   1.00000E-99  RB 84
  297    37.  85.   1   1.17712E-12  RB 85
  298    37.  86.   1   3.09172E-18  RB 86
  299    37.  87.   1   5.19115E-13  RB 87
  300    37.  88.   1   9.03199E-23  RB 88
  301    37.  89.   1   1.00000E-99  RB 89
  302    37.  90.   1   1.00000E-99  RB 90
  303    37.  91.   1   1.00000E-99  RB 91
  304    38.  80.   1   1.00000E-99  SR 80
  305    38.  81.   1   1.00000E-99  SR 81
  306    38.  82.   1   1.00000E-99  SR 82
  307    38.  83.   1   1.00000E-99  SR 83
  308    38.  84.   1   5.44986E-17  SR 84
  309    38.  85.   1   1.66917E-20  SR 85
  310    38.  86.   1   2.94310E-12  SR 86
  311    38.  87.   1   1.36617E-12  SR 87
  312    38.  88.   1   6.06475E-12  SR 88
  313    38.  89.   1   1.22537E-18  SR 89
  314    38.  90.   1   6.35742E-20  SR 90
  315    38.  91.   1   1.00000E-99  SR 91
  316    38.  92.   1   1.00000E-99  SR 92
  317    38.  93.   1   1.00000E-99  SR 93
  318    38.  94.   1   1.00000E-99  SR 94
  319    39.  85.   1   1.00000E-99  Y  85
  320    39.  86.   1   1.00000E-99  Y  86
  321    39.  87.   1   1.00000E-99  Y  87
  322    39.  88.   1   1.00000E-99  Y  88
  323    39.  89.   1   1.40227E-12  Y  89
  324    39.  90.   1   4.41185E-20  Y  90
  325    39.  91.   1   4.90848E-25  Y  91
  326    39.  92.   1   1.00000E-99  Y  92
  327    39.  93.   1   1.00000E-99  Y  93
  328    39.  94.   1   1.00000E-99  Y  94
  329    39.  95.   1   1.00000E-99  Y  95
  330    39.  96.   1   1.00000E-99  Y  96
  331    40.  86.   1   1.00000E-99  ZR 86
  332    40.  87.   1   1.00000E-99  ZR 87
  333    40.  88.   1   1.00000E-99  ZR 88
  334    40.  89.   1   1.00000E-99  ZR 89
  335    40.  90.   1   1.51629E-12  ZR 90
  336    40.  91.   1   3.91846E-13  ZR 91
  337    40.  92.   1   5.87233E-13  ZR 92
  338    40.  93.   1   1.66899E-13  ZR 93
  339    40.  94.   1   4.60993E-13  ZR 94
  340    40.  95.   1   5.84471E-19  ZR 95
  341    40.  96.   1   7.31326E-14  ZR 96
  342    40.  97.   1   2.81397E-22  ZR 97
  343    40.  98.   1   1.00000E-99  ZR 98
  344    41.  89.   1   1.00000E-99  NB 89
  345    41.  90.   1   1.00000E-99  NB 90
  346    41.  91.   1   1.00000E-99  NB 91
  347    41.  92.   1   1.00000E-99  NB 92
  348    41.  93.   1   3.08350E-15  NB 93
  349    41.  94.   1   3.71970E-21  NB 94
  350    41.  95.   1   3.28688E-19  NB 95
  351    41.  96.   1   6.23935E-26  NB 96
  352    41.  97.   1   2.00504E-23  NB 97
  353    41.  98.   1   1.00000E-99  NB 98
  354    41.  99.   1   1.00000E-99  NB 99
  355    42.  90.   1   1.00000E-99  MO 90
  356    42.  91.   1   1.00000E-99  MO 91
  357    42.  92.   1   2.54211E-14  MO 92
  358    42.  93.   1   7.80481E-15  MO 93
  359    42.  94.   1   1.04453E-13  MO 94
  360    42.  95.   1   9.11783E-14  MO 95
  361    42.  96.   1   2.42122E-13  MO 96
  362    42.  97.   1   8.24065E-14  MO 97
  363    42.  98.   1   2.51216E-13  MO 98
  364    42.  99.   1   1.85385E-20  MO 99
  365    42. 100.   1   1.06821E-14  MO100
  366    42. 101.   1   7.18515E-24  MO101
  367    42. 102.   1   1.00000E-99  MO102
  368    43.  93.   1   1.00000E-99  TC 93
  369    43.  94.   1   1.00000E-99  TC 94
  370    43.  95.   1   1.00000E-99  TC 95
  371    43.  96.   1   1.00000E-99  TC 96
  372    43.  97.   1   1.92811E-16  TC 97
  373    43.  98.   1   5.29699E-20  TC 98
  374    43.  99.   1   4.15456E-17  TC 99
  375    43. 100.   1   3.65248E-27  TC100
  376    43. 101.   1   6.98827E-24  TC101
  377    43. 102.   1   1.00000E-99  TC102
  378    43. 103.   1   1.00000E-99  TC103
  379    43. 104.   1   1.00000E-99  TC104
  380    43. 105.   1   1.00000E-99  TC105
  381    44.  94.   1   1.00000E-99  RU 94
  382    44.  95.   1   1.00000E-99  RU 95
  383    44.  96.   1   7.53584E-16  RU 96
  384    44.  97.   1   3.44690E-21  RU 97
  385    44.  98.   1   4.18389E-15  RU 98
  386    44.  99.   1   4.03848E-14  RU 99
  387    44. 100.   1   1.16742E-13  RU100
  388    44. 101.   1   2.58250E-14  RU101
  389    44. 102.   1   1.73566E-13  RU102
  390    44. 103.   1   1.96057E-20  RU103
  391    44. 104.   1   5.93785E-15  RU104
  392    44. 105.   1   3.23473E-23  RU105
  393    44. 106.   1   1.00000E-99  RU106
  394    45.  98.   1   1.00000E-99  RH 98
  395    45.  99.   1   1.00000E-99  RH 99
  396    45. 100.   1   1.00000E-99  RH100
  397    45. 101.   1   1.00000E-99  RH101
  398    45. 102.   1   1.00000E-99  RH102
  399    45. 103.   1   2.95924E-14  RH103
  400    45. 104.   1   1.17126E-23  RH104
  401    45. 105.   1   8.49929E-22  RH105
  402    45. 106.   1   1.00000E-99  RH106
  403    45. 107.   1   1.00000E-99  RH107
  404    45. 108.   1   1.00000E-99  RH108
  405    46.  99.   1   1.00000E-99  PD 99
  406    46. 100.   1   1.00000E-99  PD100
  407    46. 101.   1   1.00000E-99  PD101
  408    46. 102.   1   6.48734E-18  PD102
  409    46. 103.   1   2.95463E-22  PD103
  410    46. 104.   1   9.88592E-14  PD104
  411    46. 105.   1   2.59039E-14  PD105
  412    46. 106.   1   1.35509E-13  PD106
  413    46. 107.   1   2.15972E-14  PD107
  414    46. 108.   1   1.76212E-13  PD108
  415    46. 109.   1   1.23778E-20  PD109
  416    46. 110.   1   3.46766E-15  PD110
  417    46. 111.   1   4.79674E-24  PD111
  418    46. 112.   1   1.00000E-99  PD112
  419    47. 101.   1   1.00000E-99  AG101
  420    47. 102.   1   1.00000E-99  AG102
  421    47. 103.   1   1.00000E-99  AG103
  422    47. 104.   1   1.00000E-99  AG104
  423    47. 105.   1   1.00000E-99  AG105
  424    47. 106.   1   1.00000E-99  AG106
  425    47. 107.   1   7.01521E-15  AG107
  426    47. 108.   1   7.46216E-24  AG108
  427    47. 109.   1   6.01475E-14  AG109
  428    47. 110.   1   1.88243E-23  AG110
  429    47. 111.   1   2.13945E-22  AG111
  430    47. 112.   1   1.00000E-99  AG112
  431    47. 113.   1   1.00000E-99  AG113
  432    48. 102.   1   1.00000E-99  CD102
  433    48. 103.   1   1.00000E-99  CD103
  434    48. 104.   1   1.00000E-99  CD104
  435    48. 105.   1   1.00000E-99  CD105
  436    48. 106.   1   3.04645E-17  CD106
  437    48. 107.   1   1.39135E-23  CD107
  438    48. 108.   1   2.13860E-14  CD108
  439    48. 109.   1   1.10652E-16  CD109
  440    48. 110.   1   1.80032E-13  CD110
  441    48. 111.   1   5.95101E-14  CD111
  442    48. 112.   1   2.23675E-13  CD112
  443    48. 113.   1   6.02085E-14  CD113
  444    48. 114.   1   2.75775E-13  CD114
  445    48. 115.   1   4.38168E-20  CD115
  446    48. 116.   1   1.05285E-14  CD116
  447    48. 117.   1   4.94087E-23  CD117
  448    48. 118.   1   1.00000E-99  CD118
  449    49. 106.   1   1.00000E-99  IN106
  450    49. 107.   1   1.00000E-99  IN107
  451    49. 108.   1   1.00000E-99  IN108
  452    49. 109.   1   1.00000E-99  IN109
  453    49. 110.   1   1.00000E-99  IN110
  454    49. 111.   1   1.00000E-99  IN111
  455    49. 112.   1   1.00000E-99  IN112
  456    49. 113.   1   3.02495E-15  IN113
  457    49. 114.   1   1.25681E-24  IN114
  458    49. 115.   1   4.99021E-14  IN115
  459    49. 116.   1   3.74768E-24  IN116
  460    49. 117.   1   1.41151E-23  IN117
  461    49. 118.   1   1.00000E-99  IN118
  462    49. 119.   1   1.00000E-99  IN119
  463    50. 108.   1   1.00000E-99  SN108
  464    50. 109.   1   1.00000E-99  SN109
  465    50. 110.   1   1.00000E-99  SN110
  466    50. 111.   1   1.00000E-99  SN111
  467    50. 112.   1   2.88035E-16  SN112
  468    50. 113.   1   2.55780E-22  SN113
  469    50. 114.   1   5.74684E-15  SN114
  470    50. 115.   1   3.22394E-15  SN115
  471    50. 116.   1   3.08474E-13  SN116
  472    50. 117.   1   9.32185E-14  SN117
