Z	A	Sym	5	10	15	20	25	30	40	50	60	80	100(keV); cross sections in mb
54	133	Xe	1.000	1.000	1.000	1.000	1.000	1.001	1.006	1.019	1.038	1.082	1.121	
54	134	Xe	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
54	136	Xe	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
55	133	Cs	1.000	1.000	0.999	0.995	0.989	0.981	0.961	0.938	0.917	0.880	0.850	
55	134	Cs	0.989	0.982	0.985	0.989	0.993	0.997	1.005	1.013	1.019	1.030	1.038	
55	135	Cs	1.000	1.000	1.000	1.000	1.000	1.000	0.993	0.998	0.995	0.986	0.975	
56	130	Ba	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.002	1.006	1.023	1.054	
56	132	Ba	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.004	1.018	1.040	
56	134	Ba	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.004	
56	135	Ba	1.000	1.000	1.000	1.000	1.000	1.000	1.002	1.006	1.016	1.045	1.079	
56	136	Ba	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
56	137	Ba	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.998	0.996	0.990	0.987	
56	138	Ba	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
57	139	La	1.000	1.000	1.000	1.000	1.000	0.999	0.994	0.987	0.977	0.956	0.937	
58	132	Ce	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.006	1.016	1.050	1.093	
58	133	Ce	1.001	1.084	1.223	1.312	1.361	1.388	1.413	1.422	1.424	1.421	1.416	
58	134	Ce	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.005	1.021	1.049	
58	135	Ce	1.000	1.001	1.005	1.016	1.029	1.042	1.067	1.087	1.104	1.138	1.178	
58	136	Ce	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.003	1.011	
58	137	Ce	1.000	1.000	1.000	1.000	1.000	0.999	0.998	1.000	1.007	1.031	1.061	
58	138	Ce	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	
58	139	Ce	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.998	0.996	0.988	0.980	
58	140	Ce	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
58	141	Ce	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
58	142	Ce	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.004	
59	141	Pr	1.000	1.000	1.000	1.000	0.999	0.998	0.994	0.990	0.988	0.988	0.995	
59	142	Pr	0.749	1.013	1.101	1.129	1.132	1.120	1.086	1.053	1.027	0.994	0.977	
59	143	Pr	1.000	1.000	0.997	0.988	0.976	0.963	0.942	0.928	0.920	0.915	0.916	
60	142	Nd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
60	143	Nd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
60	144	Nd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.004	
60	145	Nd	1.000	1.000	0.995	0.984	0.967	0.948	0.913	0.883	0.860	0.827	0.806	
60	146	Nd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.003	1.011	
60	147	Nd	1.000	0.997	0.990	0.981	0.975	0.969	0.962	0.957	0.956	0.961	0.974	
60	148	Nd	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.003	1.008	1.022	1.046	
60	150	Nd	1.000	1.000	1.000	1.003	1.008	1.016	1.037	1.063	1.096	1.174	1.263	
61	147	Pm	1.000	1.000	0.000	0.000	0.990	0.990	0.980	0.970	0.960	0.940	0.930	
61	148	Pm	1.000	1.000	1.000	1.006	1.020	1.043	1.106	1.158	1.185	1.176	1.125	
61	148	Pm	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
61	149	Pm	1.000	1.000	1.000	0.999	0.997	0.993	0.977	0.953	0.922	0.854	0.789	
62	144	Sm	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
62	147	Sm	1.000	1.000	1.000	1.000	0.999	0.996	0.988	0.976	0.962	0.933	0.909	
62	148	Sm	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.004	1.013	
62	149	Sm	0.997	0.982	0.964	0.951	0.942	0.936	0.927	0.920	0.914	0.899	0.880	
62	150	Sm	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.003	1.014	1.034	
62	151	Sm	0.977	0.930	0.907	0.891	0.881	0.877	0.881	0.892	0.903	0.918	0.923	
62	152	Sm	1.000	1.000	1.001	1.005	1.015	1.031	1.071	1.116	1.163	1.260	1.356	
62	153	Sm	1.038	1.102	1.138	1.163	1.186	1.207	1.251	1.292	1.330	1.388	1.423	
62	154	Sm	1.000	1.001	1.010	1.033	1.065	1.099	1.170	1.240	1.307	1.433	1.546	
63	151	Eu	0.989	0.976	0.988	1.002	1.014	1.023	1.038	1.045	1.045	1.026	0.993	
63	152	Eu	1.000	1.001	1.001	0.995	0.975	0.944	0.881	0.833	0.801	0.762	0.734	
63	153	Eu	1.000	1.000	1.004	1.023	1.052	1.076	1.071	1.012	0.943	0.844	0.808	
63	154	Eu	1.000	1.000	1.001	0.995	0.979	0.953	0.897	0.852	0.822	0.791	0.778	
63	155	Eu	1.000	1.000	1.001	1.001	0.999	0.994	0.979	0.960	0.942	0.913	0.895	
64	152	Gd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.003	1.015	1.038	
64	153	Gd	1.000	1.006	1.021	1.037	1.050	1.060	1.073	1.077	1.076	1.070	1.066	
64	154	Gd	1.000	1.000	0.999	0.999	1.000	1.007	1.037	1.080	1.128	1.225	1.314	
64	155	Gd	1.000	1.000	1.006	1.019	1.034	1.047	1.062	1.068	1.067	1.061	1.054	
64	156	Gd	1.000	1.001	1.014	1.049	1.097	1.146	1.230	1.297	1.354	1.450	1.536	
64	157	Gd	1.000	0.995	0.980	0.971	0.970	0.973	0.988	1.004	1.019	1.042	1.057	
64	158	Gd	1.000	1.000	1.002	1.014	1.036	1.065	1.131	1.200	1.267	1.391	1.504	
