C Maria Lugaro gave this file to Falk Herwig around 2003. It originates in Gallino's group in Torino. 
C
C ISOT.       Ni(AG89)      Xi(AG89)no      Ni(GR91)      Xi(GR91)                 these columns show the      
C these data are decreased by the factor 1.017 as input data in impterem       errors on the solar abundance 
C long-lived isotopes (*) are given at the formation of the solar system         and that on the neutron
C i.e. 4.55e9 yr ago                                                 atom %     capture cross section (these
C                                                                              (last should probably be updated) 
C  Marco   October 2005                                               AG89      sigperc sigperc*Ni MACSperc
D ni 61     5.570D+02     8.594D-07	5.570d+02     8.594d-07       1.13	  5.1  2.841D+01  9.72
D ni 62     1.770D+03     2.776D-06	1.770d+03     2.776d-06       3.59	  5.1  9.027D+01  11.27
D ni 64     4.490D+02     7.269D-07	4.490d+02     7.269d-07       0.91	  5.1  2.290D+01  10.68   
D cu 63     3.610D+02     5.753D-07	3.610d+02     5.753d-07      69.17	 11.0  3.971D+01  15.05
D cu 65     1.610D+02     2.647D-07	1.610d+02     2.647d-07      30.83	 11.0  1.771D+01  9.43
D zn 64     6.130D+02     9.924D-07	6.130d+02     9.924d-07      48.63	  4.4  2.697D+01  8.47
D zn 66     3.520D+02     5.877D-07	3.520d+02     5.876d-07      27.90	  4.4  1.549D+01  8.57
D zn 67     5.170D+01     8.762D-08	5.170d+01     8.762d-08       4.10	  4.4  2.275D+00  9.80
D zn 68     2.360D+02     4.059D-07	2.360d+02     4.059d-07      18.75	  4.4  1.038D+01  12.5
D zn 70     7.800D+00     1.381D-08	7.800d+00     1.381d-08       0.62	  4.4  3.432D-01  50.
D ga 69     2.270D+01     3.962D-08	2.270d+01     3.962d-08      60.108	  6.9  1.566D+00  8.72
D ga 71     1.510D+01     2.712D-08	1.510d+01     2.712d-08      39.892	  6.9  1.042D+00  5.74
D ge 70     2.440D+01     4.320D-08	2.440d+01     4.320d-08      20.5	  9.6  2.342D+00  5.81
D ge 72     3.260D+01     5.937D-08	3.260d+01     5.937d-08      27.4	  9.6  3.130D+00  28.07
D ge 73     9.280D+00     1.714D-08	9.280d+00     1.714d-08       7.8	  9.6  8.909D-01  29.23
D ge 74     4.340D+01     8.124D-08	4.340d+01     8.124d-08      36.5	  9.6  4.166D+00  11.11
D ge 76     9.280D+00     1.784D-08	9.280d+00     1.784d-08       7.8	  9.6  8.909D-01  8.12
D as 75     6.560D+00     1.245D-08	6.560d+00     1.244d-08     100.0	 12.0  7.872D-01  3.96
D se 74     5.500D-01     1.030D-09	5.500d-01     1.029d-09       0.88	  6.4  3.520D-02  50.
D se 76     5.600D+00     1.077D-08	5.600d+00     1.077d-08       9.0	  6.4  3.584D-01  4.88
D se 77     4.700D+00     9.154D-09	4.700d+00     9.154d-09       7.6	  6.4  3.008D-01  29.48
D se 78     1.470D+01     2.900D-08	1.470d+01     2.900d-08      23.6	  6.4  9.408D-01  20.0
D se 80     3.090D+01     6.253D-08	3.090d+01     6.253d-08      49.7	  6.4  1.978D+00  6.82
D se 82     5.700D+00     1.182D-08	5.700d+00     1.182d-08       9.2	  6.4  3.648D-01  50.
D br 79     5.980D+00     1.195D-08	5.980d+00     1.195d-08      50.69	 19.0  1.136D+00  4.05
D br 81     5.820D+00     1.192D-08	5.820d+00     1.192d-08      49.31	 19.0  1.106D+00  4.10
D kr 78     1.530D-01     3.019D-10	1.530d-01     3.019d-10       0.339	 18.0  2.754D-02  12.17
D kr 80     9.990D-01     2.022D-09	9.990d-01     2.022d-09       2.22	 18.0  1.798D-01  5.83
D kr 82     5.150D+00     1.068D-08	5.150d+00     1.068d-08      11.45	 18.0  9.270D-01  7.69
D kr 83     5.160D+00     1.083D-08	5.160d+00     1.083d-08      11.47	 18.0  9.288D-01  6.41
D kr 84     2.570D+01     5.461D-08	2.570d+01     5.461d-08      57.11	 18.0  4.626D+00  11.76   
D kr 86     7.840D+00     1.705D-08	7.840d+00     1.705d-08      17.42	 18.0  1.411D+00  7.06    1
D rb 85     5.120D+00     1.101D-08	5.120d+00     1.101d-08      72.165	  6.6  3.379D-01  3.75
D rb 87     2.110D+00     4.643D-09	2.110d+00     4.643d-09      27.835	  6.6  1.393D-01  9.7	  
D sr 84     1.320D-01     2.805D-10	1.320d-01     2.805d-10       0.56	  8.1  1.069D-02  50.
D sr 86     2.320D+00     5.047D-09	2.320d+00     5.047d-09       9.86	  8.1  1.879D-01  3.54
D sr 87     1.510D+00     3.569D-09	1.510d+00     3.323d-09       7.00	  8.1  1.223D-01  3.58
D sr 88     1.941D+01     4.321D-08	1.941d+01     4.321d-08      82.58	  8.1  1.572D+00  2.68    1
D y  89     4.640D+00     1.045D-08	4.640d+00     1.045d-08     100.0	  6.0  2.784D-01  2.82    
D zr 90     5.870D+00     1.336D-08	5.870d+00     1.336d-08      51.45	  6.4  3.757D-01  10.58   
D zr 91     1.280D+00     2.946D-09	1.280d+00     2.946d-09      11.22	  6.4  8.192D-02  13.33
D zr 92     1.960D+00     4.561D-09	1.960d+00     4.561d-09      17.15	  6.4  1.254D-01  12.12
D zr 94     1.980D+00     4.708D-09	1.980d+00     4.708d-09      17.38	  6.4  1.267D-01  3.50
D zr 96     3.200D-01     7.771D-10	3.200d-01     7.770d-10       2.80	  6.4  2.048D-02  3.45    
D nb 93     6.980D-01     1.642D-09	6.980d-01     1.642d-09     100.0	  1.4  9.772D-03  5.54
D mo 92     3.780D-01     8.797D-10	3.780d-01     8.796d-10      14.84	  5.5  2.079D-02  14.28
D mo 94     2.360D-01     5.611D-10	2.360d-01     5.611d-10       9.25	  5.5  1.298D-02  4.11
D mo 95     4.060D-01     9.756D-10	4.060d-01     9.756d-10      15.92	  5.5  2.233D-02  4.46
D mo 96     4.250D-01     1.032D-09	4.250d-01     1.032d-09      16.68	  5.5  2.338D-02  4.13
D mo 97     2.440D-01     5.987D-10	2.440d-01     5.987d-10       9.55	  5.5  1.342D-02  5.05
D mo 98     6.150D-01     1.525D-09	6.150d-01     1.524d-09      24.13	  5.5  3.383D-02  14.70
D mo100     2.460D-01     6.223D-10	2.460d-01     6.222d-10       9.63	  5.5  1.353D-02  20.62
D ru 96     1.030D-01     2.501D-10	1.030d-01     2.501d-10       5.52	  5.4  5.562D-03  22.22
D ru 98     3.500D-02     8.676D-11	3.500d-02     8.676d-11       1.88	  5.4  1.890D-03  50.
D ru 99     2.360D-01     5.910D-10	2.360d-01     5.910d-10      12.7	  5.4  1.274D-02  50.
D ru100     2.340D-01     5.919D-10	2.340d-01     5.919d-10      12.6	  5.4  1.264D-02  6.31
D ru101     3.160D-01     8.073D-10	3.160d-01     8.073d-10      17.0	  5.4  1.706D-02  4.02
D ru102     5.880D-01     1.517D-09	5.880d-01     1.517d-09      31.6	  5.4  3.175D-02  5.91
D ru104     3.480D-01     9.155D-10	3.480d-01     9.155d-10      18.7	  5.4  1.879D-02  6.21
D rh103     3.440D-01     8.962D-10	3.440d-01     8.962d-10     100.0	  8.0  2.752D-02  1.78
D pd102     1.420D-02     3.664D-11	1.420d-02     3.664d-11       1.020	  6.6  9.372D-04  50.
