 41 NB 99    1.000000000e-99 
 42 MO 90    9.603377949e-17 
 42 MO 91    1.237814701e-14 
 42 MO 92    7.390399012e-10 
 42 MO 93    4.941448388e-12 
 42 MO 94    3.976136535e-12 
 42 MO 95    1.492032712e-15 
 42 MO 96    1.004985520e-16 
 42 MO 97    3.418551418e-21 
 42 MO 98    6.896981465e-24 
 42 MO 99    6.762673721e-76 
 42 MO100    1.000000000e-99 
 42 MO101    1.000000000e-99 
 42 MO102    1.000000000e-99 
 43 TC 93    1.020869482e-14 
 43 TC 94    2.208972666e-14 
 43 TC 95    3.950987683e-13 
 43 TC 96    1.123192130e-15 
 43 TC 97    3.729493383e-15 
 43 TC 98    1.191023461e-19 
 43 TC 99    6.830994537e-21 
 43 TC100    6.696394973e-26 
 43 TC101    1.000000000e-99 
 43 TC102    1.000000000e-99 
 43 TC103    1.000000000e-99 
 43 TC104    1.000000000e-99 
 43 TC105    1.000000000e-99 
 44 RU 94    8.283679467e-13 
 44 RU 95    2.932771162e-12 
 44 RU 96    1.373221434e-10 
 44 RU 97    2.075132713e-12 
 44 RU 98    5.435552378e-11 
 44 RU 99    5.055599504e-14 
 44 RU100    2.586549186e-13 
 44 RU101    1.445012679e-17 
 44 RU102    9.200036206e-20 
 44 RU103    2.307725053e-24 
 44 RU104    1.776395428e-27 
 44 RU105    1.000000000e-99 
 44 RU106    1.000000000e-99 
 45 RH 98    4.303237219e-15 
 45 RH 99    1.021428939e-12 
 45 RH100    1.036378118e-14 
 45 RH101    6.485031969e-12 
 45 RH102    8.935113342e-16 
 45 RH103    9.496978604e-17 
 45 RH104    3.040857352e-21 
 45 RH105    2.043041459e-24 
 45 RH106    1.000000000e-99 
 45 RH107    1.000000000e-99 
 45 RH108    1.000000000e-99 
 46 PD 99    1.373988023e-12 
 46 PD100    1.615285961e-10 
 46 PD101    5.437389286e-12 
 46 PD102    4.116357800e-10 
 46 PD103    1.710128688e-12 
 46 PD104    3.050294309e-12 
 46 PD105    5.814223391e-16 
 46 PD106    6.028656833e-17 
 46 PD107    2.638553381e-21 
 46 PD108    1.226769951e-23 
 46 PD109    1.000000000e-99 
 46 PD110    1.000000000e-99 
 46 PD111    1.000000000e-99 
 46 PD112    1.000000000e-99 
 47 AG101    5.636346943e-18 
 47 AG102    1.076201269e-16 
 47 AG103    1.074601402e-14 
 47 AG104    2.403611542e-14 
 47 AG105    1.749257389e-11 
 47 AG106    1.137823145e-14 
 47 AG107    2.522767001e-15 
 47 AG108    3.714718486e-19 
 47 AG109    2.149521530e-20 
 47 AG110    1.383807273e-25 
 47 AG111    8.626580162e-27 
 47 AG112    1.000000000e-99 
 47 AG113    1.000000000e-99 
 48 CD102    1.067293701e-14 
 48 CD103    6.949562674e-14 
 48 CD104    2.802602681e-11 
 48 CD105    2.037294429e-12 
 48 CD106    2.513787255e-10 
 48 CD107    1.554265116e-12 
 48 CD108    1.623717890e-11 
 48 CD109    1.691394816e-14 
 48 CD110    3.468034259e-14 
 48 CD111    1.853434207e-17 
 48 CD112    8.282749388e-20 
 48 CD113    8.134857866e-24 
 48 CD114    6.725207773e-27 
 48 CD115    1.000000000e-99 
 48 CD116    1.000000000e-99 
 48 CD117    1.000000000e-99 
 48 CD118    1.000000000e-99 
 49 IN106    4.805767874e-20 
 49 IN107    5.339029397e-16 
 49 IN108    1.789241323e-15 
 49 IN109    6.127614217e-14 
 49 IN110    5.651628804e-16 
 49 IN111    5.232889522e-14 
 49 IN112    8.780919646e-16 
 49 IN113    2.299918636e-18 
 49 IN114    4.068238168e-22 
 49 IN115    4.128415266e-23 
 49 IN116    2.293138538e-26 
 49 IN117    1.000000000e-99 
 49 IN118    1.000000000e-99 
 49 IN119    1.000000000e-99 
 50 SN108    1.469709348e-12 
 50 SN109    4.201483140e-13 
 50 SN110    2.401979870e-10 
 50 SN111    6.935462882e-13 
 50 SN112    9.482105393e-10 
 50 SN113    8.252224862e-12 
 50 SN114    4.164056338e-11 
 50 SN115    3.107229728e-15 
 50 SN116    1.224666150e-15 
 50 SN117    4.723595338e-19 
 50 SN118    7.100763512e-20 
 50 SN119    1.005439955e-24 
 50 SN120    1.340860241e-24 
 50 SN121    1.000000000e-99 
 50 SN122    1.000000000e-99 
 50 SN123    1.000000000e-99 
 50 SN124    2.165420860e-40 
 50 SN125    1.000000000e-99 
 50 SN126    1.000000000e-99 
 50 SN127    1.000000000e-99 
 50 SN128    1.000000000e-99 
 50 SN129    1.000000000e-99 
 50 SN130    1.000000000e-99 
 51 SB112    4.916444175e-21 
 51 SB113    2.708444270e-18 
 51 SB114    4.682470254e-20 
 51 SB115    2.858403442e-18 
 51 SB116    3.408113574e-18 
 51 SB117    1.128964835e-16 
 51 SB118    7.518913986e-20 
 51 SB119    1.724142992e-17 
 51 SB120    1.638869041e-21 
 51 SB121    3.718409366e-23 
 51 SB122    1.000000000e-99 
 51 SB123    1.000000000e-99 
 51 SB124    1.000000000e-99 
 51 SB125    1.000000000e-99 
 51 SB126    1.000000000e-99 
 51 SB127    1.000000000e-99 
 51 SB128    1.000000000e-99 
 51 SB129    1.000000000e-99 
 51 SB130    1.000000000e-99 
 51 SB131    1.000000000e-99 
 51 SB132    1.000000000e-99 
 51 SB133    1.000000000e-99 
 52 TE114    4.696152061e-19 
 52 TE115    4.826688460e-18 
 52 TE116    3.582129724e-15 
 52 TE117    1.782447824e-16 
 52 TE118    1.019520295e-14 
 52 TE119    2.444933614e-15 
 52 TE120    3.445437397e-14 
 52 TE121    6.902983741e-17 
 52 TE122    7.472938473e-17 
 52 TE123    3.578714491e-20 
 52 TE124    1.500757060e-22 
 52 TE125    2.094613699e-26 
 52 TE126    1.000000000e-99 
 52 TE127    1.000000000e-99 
 52 TE128    1.000000000e-99 
 52 TE129    1.000000000e-99 
 52 TE130    1.000000000e-99 
 52 TE131    1.000000000e-99 
 52 TE132    1.000000000e-99 
 52 TE133    1.000000000e-99 
 52 TE134    1.000000000e-99 
 53 I 117    5.305366539e-22 
 53 I 118    7.010821190e-20 
 53 I 119    1.507028790e-16 
 53 I 120    1.875432091e-18 
 53 I 121    6.686892009e-15 
 53 I 122    1.052255927e-17 
 53 I 123    5.955638188e-16 
 53 I 124    2.965938151e-20 
 53 I 125    4.923864246e-20 
 53 I 126    3.220339300e-24 
 53 I 127    1.208315470e-24 
 53 I 128    1.000000000e-99 
 53 I 129    1.000000000e-99 
 53 I 130    1.000000000e-99 
 53 I 131    1.000000000e-99 
 53 I 132    1.000000000e-99 
 53 I 133    1.000000000e-99 
 53 I 134    1.000000000e-99 
 53 I 135    1.000000000e-99 
 54 XE118    6.626417515e-19 
 54 XE119    8.696643680e-18 
 54 XE120    3.332613442e-14 
 54 XE121    4.966036548e-15 
 54 XE122    3.128628091e-12 
 54 XE123    7.599380998e-14 
 54 XE124    1.514644680e-13 
 54 XE125    2.834817465e-16 
 54 XE126    2.122707312e-15 
 54 XE127    3.366948891e-18 
 54 XE128    2.272110891e-17 
 54 XE129    1.042511355e-22 
 54 XE130    4.503469727e-25 
 54 XE131    1.000000000e-99 
 54 XE132    1.000000000e-99 
 54 XE133    1.000000000e-99 
 54 XE134    1.000000000e-99 
 54 XE135    1.000000000e-99 
 54 XE136    1.000000000e-99 
 54 XE137    1.000000000e-99 
 54 XE138    1.000000000e-99 
 55 CS123    2.907955586e-17 
 55 CS124    1.606639014e-18 
 55 CS125    2.677434058e-15 
 55 CS126    6.339546825e-17 
 55 CS127    4.631934393e-15 
 55 CS128    3.738550619e-18 
 55 CS129    1.256043791e-18 
 55 CS130    4.539876109e-21 
 55 CS131    1.350174183e-21 
 55 CS132    6.926672530e-26 
 55 CS133    4.803732241e-26 
 55 CS134    1.448324713e-39 
 55 CS135    5.690093680e-38 
 55 CS136    1.000000000e-99 
 55 CS137    1.000000000e-99 
 55 CS138    1.000000000e-99 
 55 CS139    1.000000000e-99 
 56 BA124    7.825860143e-15 
 56 BA125    8.138209711e-16 
 56 BA126    1.997533489e-12 
 56 BA127    1.230581738e-13 
 56 BA128    6.462355734e-13 
 56 BA129    1.706043927e-15 
 56 BA130    1.442670738e-12 
 56 BA131    2.373746354e-16 
 56 BA132    3.148547721e-16 
 56 BA133    5.556864931e-19 
 56 BA134    1.732032672e-19 
 56 BA135    6.564351950e-23 
 56 BA136    1.373042591e-22 
 56 BA137    1.939224378e-27 
