H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      281 dzeit  1.25E+01 agej  4.7207E+04
 # t9 =    8.225E-01 rho =    1.357E+06
 # densn  1.02902E+04
 # densp  4.61071E+07
 # densa  2.61765E+13
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
  220    31.  73.   1   7.26536E-25  GA 73
  221    31.  74.   1   1.00000E-99  GA 74
  222    31.  75.   1   1.00000E-99  GA 75
  223    32.  66.   1   1.00000E-99  GE 66
  224    32.  67.   1   1.00000E-99  GE 67
  225    32.  68.   1   1.00000E-99  GE 68
  226    32.  69.   1   1.00000E-99  GE 69
  227    32.  70.   1   9.03329E-07  GE 70
  228    32.  71.   1   1.92124E-12  GE 71
  229    32.  72.   1   7.26290E-07  GE 72
  230    32.  73.   1   2.65636E-07  GE 73
  231    32.  74.   1   8.70678E-07  GE 74
  232    32.  75.   1   1.03757E-15  GE 75
  233    32.  76.   1   1.41866E-09  GE 76
  234    32.  77.   1   2.40464E-19  GE 77
  235    32.  78.   1   1.00000E-99  GE 78
  236    33.  69.   1   1.00000E-99  AS 69
  237    33.  70.   1   1.00000E-99  AS 70
  238    33.  71.   1   8.47271E-20  AS 71
  239    33.  72.   1   1.01841E-25  AS 72
  240    33.  73.   1   2.92021E-18  AS 73
  241    33.  74.   1   2.57657E-15  AS 74
  242    33.  75.   1   9.46269E-08  AS 75
  243    33.  76.   1   2.50471E-17  AS 76
  244    33.  77.   1   1.43290E-17  AS 77
  245    33.  78.   1   2.89694E-27  AS 78
  246    33.  79.   1   1.00000E-99  AS 79
  247    33.  80.   1   1.00000E-99  AS 80
  248    33.  81.   1   1.00000E-99  AS 81
  249    34.  72.   1   1.00000E-99  SE 72
  250    34.  73.   1   1.00000E-99  SE 73
  251    34.  74.   1   2.45022E-14  SE 74
  252    34.  75.   1   6.92843E-19  SE 75
  253    34.  76.   1   1.60399E-07  SE 76
  254    34.  77.   1   7.13004E-08  SE 77
  255    34.  78.   1   3.53080E-07  SE 78
  256    34.  79.   1   5.73229E-12  SE 79
  257    34.  80.   1   1.36650E-08  SE 80
  258    34.  81.   1   4.35854E-18  SE 81
  259    34.  82.   1   1.21801E-11  SE 82
  260    34.  83.   1   4.99248E-22  SE 83
  261    34.  84.   1   1.00000E-99  SE 84
  262    35.  74.   1   1.00000E-99  BR 74
  263    35.  75.   1   1.00000E-99  BR 75
  264    35.  76.   1   1.00000E-99  BR 76
  265    35.  77.   1   5.48894E-21  BR 77
  266    35.  78.   1   2.00177E-20  BR 78
  267    35.  79.   1   3.70927E-08  BR 79
  268    35.  80.   1   3.12237E-16  BR 80
  269    35.  81.   1   8.55184E-08  BR 81
  270    35.  82.   1   1.55833E-16  BR 82
  271    35.  83.   1   3.22068E-21  BR 83
  272    35.  84.   1   1.00000E-99  BR 84
  273    35.  85.   1   1.00000E-99  BR 85
  274    35.  86.   1   1.00000E-99  BR 86
  275    35.  87.   1   1.00000E-99  BR 87
  276    36.  76.   1   1.00000E-99  KR 76
  277    36.  77.   1   1.00000E-99  KR 77
  278    36.  78.   1   1.36641E-18  KR 78
  279    36.  79.   1   3.05443E-24  KR 79
  280    36.  80.   1   7.03049E-08  KR 80
  281    36.  81.   1   6.77674E-11  KR 81
  282    36.  82.   1   1.60343E-07  KR 82
  283    36.  83.   1   7.11484E-08  KR 83
  284    36.  84.   1   3.24920E-07  KR 84
  285    36.  85.   1   3.04192E-13  KR 85
  286    36.  86.   1   1.17021E-08  KR 86
  287    36.  87.   1   1.12454E-18  KR 87
  288    36.  88.   1   1.00000E-99  KR 88
  289    36.  89.   1   1.00000E-99  KR 89
  290    36.  90.   1   1.00000E-99  KR 90
  291    37.  79.   1   1.00000E-99  RB 79
  292    37.  80.   1   1.00000E-99  RB 80
  293    37.  81.   1   4.31981E-23  RB 81
  294    37.  82.   1   7.14691E-26  RB 82
  295    37.  83.   1   5.35850E-20  RB 83
  296    37.  84.   1   7.76208E-17  RB 84
  297    37.  85.   1   4.41949E-08  RB 85
  298    37.  86.   1   4.34562E-14  RB 86
  299    37.  87.   1   9.14103E-08  RB 87
  300    37.  88.   1   1.10537E-17  RB 88
  301    37.  89.   1   3.00251E-27  RB 89
  302    37.  90.   1   1.00000E-99  RB 90
  303    37.  91.   1   1.00000E-99  RB 91
  304    38.  80.   1   1.00000E-99  SR 80
  305    38.  81.   1   1.00000E-99  SR 81
  306    38.  82.   1   1.00000E-99  SR 82
  307    38.  83.   1   1.00000E-99  SR 83
  308    38.  84.   1   5.66128E-16  SR 84
  309    38.  85.   1   1.92764E-20  SR 85
  310    38.  86.   1   1.46874E-07  SR 86
  311    38.  87.   1   3.31113E-08  SR 87
  312    38.  88.   1   3.91176E-07  SR 88
  313    38.  89.   1   3.60245E-14  SR 89
  314    38.  90.   1   1.70057E-17  SR 90
  315    38.  91.   1   4.38018E-26  SR 91
  316    38.  92.   1   1.00000E-99  SR 92
  317    38.  93.   1   1.00000E-99  SR 93
  318    38.  94.   1   1.00000E-99  SR 94
  319    39.  85.   1   1.00000E-99  Y  85
  320    39.  86.   1   1.00000E-99  Y  86
  321    39.  87.   1   5.42331E-22  Y  87
  322    39.  88.   1   4.32830E-21  Y  88
  323    39.  89.   1   7.40308E-08  Y  89
  324    39.  90.   1   1.22353E-15  Y  90
  325    39.  91.   1   4.87206E-21  Y  91
  326    39.  92.   1   1.00000E-99  Y  92
  327    39.  93.   1   1.00000E-99  Y  93
  328    39.  94.   1   1.00000E-99  Y  94
  329    39.  95.   1   1.00000E-99  Y  95
  330    39.  96.   1   1.00000E-99  Y  96
  331    40.  86.   1   1.00000E-99  ZR 86
  332    40.  87.   1   1.00000E-99  ZR 87
  333    40.  88.   1   1.00000E-99  ZR 88
  334    40.  89.   1   1.00000E-99  ZR 89
  335    40.  90.   1   4.10493E-08  ZR 90
  336    40.  91.   1   1.25663E-08  ZR 91
  337    40.  92.   1   1.27566E-08  ZR 92
  338    40.  93.   1   1.06331E-09  ZR 93
  339    40.  94.   1   8.91545E-09  ZR 94
  340    40.  95.   1   6.43854E-15  ZR 95
  341    40.  96.   1   2.59555E-10  ZR 96
  342    40.  97.   1   5.11511E-19  ZR 97
  343    40.  98.   1   1.00000E-99  ZR 98
  344    41.  89.   1   1.00000E-99  NB 89
  345    41.  90.   1   1.00000E-99  NB 90
  346    41.  91.   1   2.63981E-17  NB 91
  347    41.  92.   1   3.51118E-24  NB 92
  348    41.  93.   1   3.15804E-09  NB 93
  349    41.  94.   1   9.25354E-16  NB 94
  350    41.  95.   1   3.54794E-15  NB 95
  351    41.  96.   1   1.25218E-22  NB 96
  352    41.  97.   1   3.65604E-20  NB 97
  353    41.  98.   1   1.00000E-99  NB 98
  354    41.  99.   1   1.00000E-99  NB 99
  355    42.  90.   1   1.00000E-99  MO 90
  356    42.  91.   1   1.00000E-99  MO 91
  357    42.  92.   1   3.86130E-13  MO 92
  358    42.  93.   1   9.24595E-14  MO 93
  359    42.  94.   1   2.19315E-09  MO 94
  360    42.  95.   1   1.71361E-09  MO 95
  361    42.  96.   1   3.31737E-09  MO 96
  362    42.  97.   1   1.15596E-09  MO 97
  363    42.  98.   1   3.24560E-09  MO 98
  364    42.  99.   1   6.86776E-18  MO 99
  365    42. 100.   1   8.71443E-15  MO100
  366    42. 101.   1   3.44119E-24  MO101
  367    42. 102.   1   1.00000E-99  MO102
  368    43.  93.   1   1.00000E-99  TC 93
