H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      125 dzeit  2.78E+02 agej  5.3038E+08
 # t9 =    1.004E-01 rho =    1.466E+04
 # densn  5.98329E+01
 # densp  9.03320E+08
 # densa  3.56496E+27
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
  207    30.  70.   1   6.46894E-08  ZN 70
  208    30.  71.   1   4.55802E-21  ZN 71
  209    30.  72.   1   1.00000E-99  ZN 72
  210    30.  73.   1   1.00000E-99  ZN 73
  211    30.  74.   1   1.00000E-99  ZN 74
  212    31.  65.   1   1.00000E-99  GA 65
  213    31.  66.   1   1.00000E-99  GA 66
  214    31.  67.   1   1.00000E-99  GA 67
  215    31.  68.   1   1.00000E-99  GA 68
  216    31.  69.   1   4.86114E-06  GA 69
  217    31.  70.   1   1.83822E-17  GA 70
  218    31.  71.   1   4.85344E-06  GA 71
  219    31.  72.   1   7.04632E-16  GA 72
  220    31.  73.   1   8.10587E-26  GA 73
  221    31.  74.   1   1.00000E-99  GA 74
  222    31.  75.   1   1.00000E-99  GA 75
  223    32.  66.   1   1.00000E-99  GE 66
  224    32.  67.   1   1.00000E-99  GE 67
  225    32.  68.   1   1.00000E-99  GE 68
  226    32.  69.   1   1.00000E-99  GE 69
  227    32.  70.   1   8.50613E-06  GE 70
  228    32.  71.   1   1.77157E-14  GE 71
  229    32.  72.   1   9.95829E-06  GE 72
  230    32.  73.   1   2.67431E-06  GE 73
  231    32.  74.   1   2.14625E-05  GE 74
  232    32.  75.   1   9.61706E-17  GE 75
  233    32.  76.   1   8.54924E-09  GE 76
  234    32.  77.   1   1.76142E-19  GE 77
  235    32.  78.   1   1.00000E-99  GE 78
  236    33.  69.   1   1.00000E-99  AS 69
  237    33.  70.   1   1.00000E-99  AS 70
  238    33.  71.   1   1.00000E-99  AS 71
  239    33.  72.   1   1.00000E-99  AS 72
  240    33.  73.   1   1.00000E-99  AS 73
  241    33.  74.   1   1.00000E-99  AS 74
  242    33.  75.   1   2.10021E-06  AS 75
  243    33.  76.   1   3.35665E-16  AS 76
  244    33.  77.   1   6.04632E-19  AS 77
  245    33.  78.   1   1.00000E-99  AS 78
  246    33.  79.   1   1.00000E-99  AS 79
  247    33.  80.   1   1.00000E-99  AS 80
  248    33.  81.   1   1.00000E-99  AS 81
  249    34.  72.   1   1.00000E-99  SE 72
  250    34.  73.   1   1.00000E-99  SE 73
  251    34.  74.   1   1.00000E-99  SE 74
  252    34.  75.   1   1.00000E-99  SE 75
  253    34.  76.   1   6.02417E-06  SE 76
  254    34.  77.   1   2.40847E-06  SE 77
  255    34.  78.   1   1.63354E-05  SE 78
  256    34.  79.   1   1.22842E-06  SE 79
  257    34.  80.   1   2.41556E-05  SE 80
  258    34.  81.   1   2.70208E-17  SE 81
  259    34.  82.   1   3.54239E-11  SE 82
  260    34.  83.   1   1.07514E-23  SE 83
  261    34.  84.   1   1.00000E-99  SE 84
  262    35.  74.   1   1.00000E-99  BR 74
  263    35.  75.   1   1.00000E-99  BR 75
  264    35.  76.   1   1.00000E-99  BR 76
  265    35.  77.   1   1.00000E-99  BR 77
  266    35.  78.   1   1.00000E-99  BR 78
  267    35.  79.   1   2.03903E-06  BR 79
  268    35.  80.   1   3.21452E-17  BR 80
  269    35.  81.   1   4.21561E-06  BR 81
  270    35.  82.   1   2.79176E-15  BR 82
  271    35.  83.   1   6.86836E-23  BR 83
  272    35.  84.   1   1.00000E-99  BR 84
  273    35.  85.   1   1.00000E-99  BR 85
  274    35.  86.   1   1.00000E-99  BR 86
  275    35.  87.   1   1.00000E-99  BR 87
