H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      261 dzeit  1.02E-01 agej  9.6715E+02
 # t9 =    1.475E+00 rho =    1.539E+07
 # densn  2.84078E+08
 # densp  3.13570E+11
 # densa  3.23728E+15
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
  199    30.  62.   1   2.37662E-22  ZN 62
  200    30.  63.   1   4.82988E-22  ZN 63
  201    30.  64.   1   3.52074E-14  ZN 64
  202    30.  65.   1   6.18085E-13  ZN 65
  203    30.  66.   1   3.55208E-05  ZN 66
  204    30.  67.   1   2.73199E-06  ZN 67
  205    30.  68.   1   4.45934E-05  ZN 68
  206    30.  69.   1   3.97292E-10  ZN 69
  207    30.  70.   1   6.04712E-07  ZN 70
  208    30.  71.   1   4.62582E-13  ZN 71
  209    30.  72.   1   2.32686E-16  ZN 72
  210    30.  73.   1   3.66767E-24  ZN 73
  211    30.  74.   1   1.00000E-99  ZN 74
  212    31.  65.   1   1.83798E-23  GA 65
  213    31.  66.   1   1.67627E-19  GA 66
  214    31.  67.   1   8.39232E-11  GA 67
  215    31.  68.   1   1.06053E-13  GA 68
  216    31.  69.   1   4.85160E-06  GA 69
  217    31.  70.   1   9.93947E-11  GA 70
  218    31.  71.   1   2.01686E-06  GA 71
  219    31.  72.   1   3.96754E-12  GA 72
  220    31.  73.   1   4.89637E-16  GA 73
  221    31.  74.   1   9.61370E-22  GA 74
  222    31.  75.   1   1.00000E-99  GA 75
  223    32.  66.   1   1.00000E-99  GE 66
  224    32.  67.   1   1.63686E-27  GE 67
  225    32.  68.   1   3.04742E-15  GE 68
  226    32.  69.   1   4.83125E-15  GE 69
  227    32.  70.   1   5.08227E-06  GE 70
  228    32.  71.   1   1.78107E-07  GE 71
  229    32.  72.   1   1.35850E-05  GE 72
  230    32.  73.   1   3.14970E-07  GE 73
  231    32.  74.   1   8.48249E-06  GE 74
  232    32.  75.   1   4.50961E-10  GE 75
  233    32.  76.   1   3.71983E-07  GE 76
  234    32.  77.   1   9.17920E-13  GE 77
  235    32.  78.   1   1.71853E-17  GE 78
  236    33.  69.   1   1.71014E-25  AS 69
  237    33.  70.   1   6.57398E-23  AS 70
  238    33.  71.   1   2.72179E-12  AS 71
  239    33.  72.   1   1.04935E-13  AS 72
  240    33.  73.   1   3.15408E-10  AS 73
  241    33.  74.   1   8.50524E-11  AS 74
  242    33.  75.   1   1.13863E-06  AS 75
  243    33.  76.   1   8.02505E-12  AS 76
  244    33.  77.   1   1.06669E-10  AS 77
  245    33.  78.   1   1.13468E-16  AS 78
  246    33.  79.   1   1.89907E-21  AS 79
  247    33.  80.   1   1.00000E-99  AS 80
  248    33.  81.   1   1.00000E-99  AS 81
  249    34.  72.   1   6.20049E-18  SE 72
  250    34.  73.   1   1.68387E-20  SE 73
  251    34.  74.   1   1.09675E-12  SE 74
  252    34.  75.   1   1.13880E-11  SE 75
  253    34.  76.   1   1.97942E-06  SE 76
  254    34.  77.   1   5.07265E-07  SE 77
  255    34.  78.   1   2.65375E-06  SE 78
  256    34.  79.   1   5.79991E-08  SE 79
  257    34.  80.   1   2.06612E-06  SE 80
  258    34.  81.   1   2.73173E-11  SE 81
  259    34.  82.   1   9.70083E-08  SE 82
  260    34.  83.   1   1.21531E-13  SE 83
  261    34.  84.   1   4.99986E-20  SE 84
  262    35.  74.   1   1.00000E-99  BR 74
  263    35.  75.   1   1.12717E-20  BR 75
  264    35.  76.   1   1.83119E-18  BR 76
  265    35.  77.   1   1.06713E-12  BR 77
  266    35.  78.   1   1.24521E-12  BR 78
  267    35.  79.   1   1.94568E-07  BR 79
  268    35.  80.   1   6.46598E-11  BR 80
  269    35.  81.   1   4.79411E-07  BR 81
  270    35.  82.   1   1.85087E-11  BR 82
  271    35.  83.   1   8.55210E-13  BR 83
  272    35.  84.   1   1.33347E-17  BR 84
  273    35.  85.   1   3.36857E-23  BR 85
  274    35.  86.   1   1.00000E-99  BR 86
  275    35.  87.   1   1.00000E-99  BR 87
  276    36.  76.   1   5.58262E-26  KR 76
  277    36.  77.   1   1.95466E-25  KR 77
  278    36.  78.   1   2.39027E-15  KR 78
  279    36.  79.   1   6.42199E-15  KR 79
  280    36.  80.   1   2.13947E-07  KR 80
  281    36.  81.   1   7.05527E-08  KR 81
  282    36.  82.   1   1.18805E-06  KR 82
  283    36.  83.   1   5.08716E-07  KR 83
  284    36.  84.   1   2.92918E-06  KR 84
  285    36.  85.   1   1.38777E-08  KR 85
  286    36.  86.   1   2.16330E-06  KR 86
  287    36.  87.   1   2.25548E-12  KR 87
  288    36.  88.   1   2.97605E-17  KR 88
  289    36.  89.   1   3.96286E-25  KR 89
  290    36.  90.   1   1.00000E-99  KR 90
  291    37.  79.   1   2.73945E-24  RB 79
  292    37.  80.   1   2.47269E-25  RB 80
  293    37.  81.   1   3.31320E-15  RB 81
  294    37.  82.   1   1.76575E-15  RB 82
  295    37.  83.   1   5.07373E-12  RB 83
  296    37.  84.   1   4.23520E-12  RB 84
  297    37.  85.   1   4.23304E-07  RB 85
  298    37.  86.   1   1.03367E-08  RB 86
  299    37.  87.   1   3.32534E-07  RB 87
  300    37.  88.   1   1.18821E-12  RB 88
  301    37.  89.   1   7.03053E-18  RB 89
  302    37.  90.   1   2.90696E-24  RB 90
  303    37.  91.   1   1.00000E-99  RB 91
  304    38.  80.   1   1.00000E-99  SR 80
  305    38.  81.   1   1.00000E-99  SR 81
  306    38.  82.   1   7.26831E-21  SR 82
  307    38.  83.   1   1.09237E-21  SR 83
  308    38.  84.   1   3.36570E-14  SR 84
  309    38.  85.   1   2.43886E-13  SR 85
  310    38.  86.   1   6.02955E-07  SR 86
  311    38.  87.   1   1.25067E-07  SR 87
  312    38.  88.   1   9.04379E-07  SR 88
  313    38.  89.   1   4.15142E-10  SR 89
  314    38.  90.   1   1.05714E-08  SR 90
  315    38.  91.   1   5.98882E-14  SR 91
  316    38.  92.   1   1.73605E-18  SR 92
  317    38.  93.   1   1.83663E-25  SR 93
  318    38.  94.   1   1.00000E-99  SR 94
  319    39.  85.   1   2.29201E-22  Y  85
  320    39.  86.   1   5.94519E-21  Y  86
  321    39.  87.   1   6.63035E-14  Y  87
  322    39.  88.   1   1.80980E-13  Y  88
  323    39.  89.   1   4.01144E-08  Y  89
  324    39.  90.   1   4.67445E-11  Y  90
  325    39.  91.   1   9.57973E-12  Y  91
  326    39.  92.   1   1.03440E-15  Y  92
  327    39.  93.   1   1.07602E-18  Y  93
  328    39.  94.   1   1.22143E-23  Y  94
  329    39.  95.   1   1.00000E-99  Y  95
  330    39.  96.   1   1.00000E-99  Y  96
  331    40.  86.   1   1.00000E-99  ZR 86
  332    40.  87.   1   1.00000E-99  ZR 87
  333    40.  88.   1   5.93957E-20  ZR 88
  334    40.  89.   1   1.79007E-19  ZR 89
  335    40.  90.   1   3.89547E-08  ZR 90
  336    40.  91.   1   3.96457E-09  ZR 91
  337    40.  92.   1   6.10227E-08  ZR 92
  338    40.  93.   1   8.77280E-10  ZR 93
  339    40.  94.   1   7.42881E-08  ZR 94
  340    40.  95.   1   9.20832E-11  ZR 95
  341    40.  96.   1   8.70717E-10  ZR 96
  342    40.  97.   1   4.86145E-16  ZR 97
  343    40.  98.   1   2.51798E-23  ZR 98
  344    41.  89.   1   1.00000E-99  NB 89
  345    41.  90.   1   1.60364E-27  NB 90
  346    41.  91.   1   9.94063E-14  NB 91
  347    41.  92.   1   1.61508E-16  NB 92
  348    41.  93.   1   1.82108E-12  NB 93
  349    41.  94.   1   1.47317E-14  NB 94
  350    41.  95.   1   4.79645E-11  NB 95
  351    41.  96.   1   2.80460E-14  NB 96
  352    41.  97.   1   4.56362E-17  NB 97
  353    41.  98.   1   1.06328E-22  NB 98
  354    41.  99.   1   1.00000E-99  NB 99
  355    42.  90.   1   1.00000E-99  MO 90
  356    42.  91.   1   1.00000E-99  MO 91
  357    42.  92.   1   1.43818E-14  MO 92
  358    42.  93.   1   2.82659E-15  MO 93
  359    42.  94.   1   9.19615E-11  MO 94
  360    42.  95.   1   5.67327E-10  MO 95
  361    42.  96.   1   5.10643E-10  MO 96
  362    42.  97.   1   9.98515E-12  MO 97
  363    42.  98.   1   3.33846E-09  MO 98
  364    42.  99.   1   3.80206E-14  MO 99
  365    42. 100.   1   7.58704E-11  MO100
  366    42. 101.   1   5.13567E-17  MO101
  367    42. 102.   1   2.82365E-22  MO102
  368    43.  93.   1   7.26325E-24  TC 93
  369    43.  94.   1   3.12855E-24  TC 94
  370    43.  95.   1   1.55060E-17  TC 95
  371    43.  96.   1   3.45821E-19  TC 96
  372    43.  97.   1   1.77025E-14  TC 97
